start_ts,end_ts,duration,program
1379806715,1379807235,520,Google Chrome
1379840545,1379840687,142,Google Chrome
1379843820,1379846616,2796,Google Chrome
1379848347,1379849191,844,Google Chrome
1379850331,1379851726,1395,Google Chrome
1379853138,1379854171,1033,Google Chrome
1379857380,1379860790,3410,Google Chrome
1379871815,1379875823,4008,Google Chrome
1379880223,1379882594,2371,Google Chrome
1379885744,1379886466,722,Google Chrome
1379887560,1379887876,316,Google Chrome
1379917009,1379917127,118,Google Chrome
1379925780,1379926095,315,Google Chrome
1379951121,1379952331,1210,Google Chrome
1379957233,1379965276,8043,Google Chrome
1379968688,1379969600,912,Google Chrome
1379973401,1379973749,348,Google Chrome
1380003422,1380003586,164,Google Chrome
1380006839,1380007355,516,Google Chrome
1380036363,1380040246,3883,Google Chrome
1380042671,1380057511,14840,Google Chrome
1380058820,1380059026,206,Google Chrome
1380060197,1380061187,990,Google Chrome
1380089820,1380089987,167,Google Chrome
1380124725,1380132117,7392,Google Chrome
1380135300,1380140206,4906,Google Chrome
1380141540,1380141706,166,Google Chrome
1380143470,1380143956,486,Google Chrome
1380145247,1380147571,2324,Google Chrome
1380176210,1380176895,685,Google Chrome
1380181469,1380184515,3046,Google Chrome
1380214924,1380216602,1678,Google Chrome
1380224079,1380227400,3321,Google Chrome
1380228630,1380232517,3887,Google Chrome
1380235427,1380235442,15,Google Chrome
1380268297,1380268429,132,Google Chrome
1380269609,1380269716,107,Google Chrome
1380271227,1380272220,993,Google Chrome
1380273906,1380274139,233,Google Chrome
1380275460,1380275812,352,Google Chrome
1380289680,1380303401,13721,Google Chrome
1380307854,1380314516,6662,Google Chrome
1380318000,1380318496,496,Google Chrome
1380319499,1380319951,452,Google Chrome
1380321782,1380326260,4478,Google Chrome
1380357624,1380360360,2736,Google Chrome
1380362843,1380363597,754,Google Chrome
1380365460,1380378364,12904,Google Chrome
1380396445,1380399167,2722,Google Chrome
1380400331,1380400394,63,Google Chrome
1380401995,1380402157,162,Google Chrome
1380403732,1380404565,833,Google Chrome
1380408762,1380412800,4038,Google Chrome
1380412800,1380414960,2160,Google Chrome
1380446690,1380447922,1232,Google Chrome
1380452564,1380458282,5718,Google Chrome
1380460050,1380460545,495,Google Chrome
1380463470,1380463559,89,Google Chrome
1380467640,1380468364,724,Google Chrome
1380474868,1380476180,1312,Google Chrome
1380478997,1380479405,408,Google Chrome
1380481440,1380481602,162,Google Chrome
1380483233,1380484859,1626,Google Chrome
1380488040,1380488571,531,Google Chrome
1380490081,1380490672,591,Google Chrome
1380494100,1380494760,660,Google Chrome
1380522080,1380522151,71,Google Chrome
1380555995,1380557131,1136,Google Chrome
1380561917,1380565206,3289,Google Chrome
1380569627,1380570315,688,Google Chrome
1380572203,1380572597,394,Google Chrome
1380574077,1380578658,4581,Google Chrome
1380607724,1380607866,142,Google Chrome
1380608901,1380608963,62,Google Chrome
1380611823,1380611936,113,Google Chrome
1380646560,1380647927,1367,Google Chrome
1380657273,1380657525,252,Google Chrome
1380660366,1380660788,422,Google Chrome
1380662318,1380665417,3099,Google Chrome
1380695460,1380695614,154,Google Chrome
1380696656,1380696753,97,Google Chrome
1380715406,1380717180,1774,Google Chrome
1380718500,1380719917,1417,Google Chrome
1380733952,1380744813,10861,Google Chrome
1380747127,1380755801,8674,Google Chrome
1380788442,1380791390,2948,Google Chrome
1380796740,1380797686,946,Google Chrome
1380801720,1380803686,1966,Google Chrome
1380824075,1380824372,297,Google Chrome
1380828291,1380828974,683,Google Chrome
1380830794,1380831429,635,Google Chrome
1380833647,1380834214,567,Google Chrome
1380835891,1380835991,100,Google Chrome
1380867881,1380868471,590,Google Chrome
1380874894,1380877099,2205,Google Chrome
1380880059,1380880230,171,Google Chrome
1380890839,1380891137,298,Google Chrome
1380904427,1380906946,2519,Google Chrome
1380908523,1380913134,4611,Google Chrome
1380914161,1380914387,226,Google Chrome
1380916920,1380917940,1020,Google Chrome
1380920340,1380920856,516,Google Chrome
1380922497,1380922672,175,Google Chrome
1380925440,1380925660,220,Google Chrome
1380963377,1380963555,178,Google Chrome
