x,y
648,284
644,288
639,293
634,300
631,303
630,306
629,307
628,306
627,287
627,269
629,235
652,182
664,167
686,140
696,130
711,121
728,120
756,124
788,146
824,180
859,228
870,262
873,302
870,352
851,387
821,420
779,447
729,467
672,476
615,477
561,469
527,450
498,422
476,393
463,361
461,328
462,297
482,267
523,235
554,222
596,215
633,215
670,228
704,265
724,297
742,341
751,381
752,406
752,437
744,454
735,464
715,478
693,484
652,486
601,477
527,432
486,389
454,340
420,277
407,238
398,202
395,165
397,143
403,131
409,121
416,111
427,98
444,86
481,67
533,53
591,50
646,50
694,73
738,112
780,173
833,278
852,327
869,422
869,461
853,499
818,545
768,574
703,592
577,598
469,588
359,548
297,508
257,471
228,412
232,365
304,268
371,221
440,192
525,175
592,175
652,204
694,249
722,309
738,384
739,467
705,578
676,628
627,673
565,696
460,699
372,674
314,634
255,574
221,495
209,315
266,166
346,57
384,27
477,0
538,0
589,14
630,55
649,92
657,120
660,157
640,178
575,187
418,180
201,148
30,128
0,109
0,106
0,106
0,109
0,122
0,154
36,212
134,307
250,376
421,449
519,470
628,477
702,465
748,422
776,355
789,213
757,4
665,0
576,0
489,0
365,0
236,67
175,134
127,213
75,376
72,504
104,621
181,720
303,799
451,799
592,799
707,799
743,799
770,799
778,799
752,799
643,799
401,799
50,751
0,643
0,539
0,458
0,348
28,248
147,110
310,5
515,0
669,0
850,0
942,0
1000,0
1031,0
1062,0
1056,0
985,0
852,0
636,0
456,33
282,126
194,204
110,316
84,392
69,526
105,608
183,677
298,738
438,788
533,799
616,799
648,799
673,799
668,799
623,799
569,799
442,799
275,738
188,656
123,565
100,467
105,335
161,246
234,167
319,103
377,71
424,46
460,31
514,15
546,8
567,3
583,0
592,0
585,0
544,0
493,0
423,0
381,4
358,12
339,21
330,37
345,78
413,136
518,199
634,260
705,299
753,333
791,374
811,426
811,469
779,519
729,554
669,565
589,549
550,516
526,483
502,419
502,361
536,283
589,221
631,184
667,156
678,147
694,135
697,128
684,127
647,127
600,148
558,180
536,213
519,273
525,344
580,403
674,455
809,493
919,501
1023,501
1050,501
1090,501
1107,502
1109,521
1093,570
1059,612
940,723
867,769
796,791
669,799
591,748
538,661
521,582
522,445
604,290
718,169
814,96
904,43
962,23
981,17
1006,11
1016,9
1004,9
954,10
872,16
766,25
698,32
633,44
581,74
564,109
561,190
598,274
684,352
767,386
849,390
906,378
946,341
971,285
981,170
976,67
953,2
929,0
921,0
913,0
908,9
911,67
950,145
1013,224
1104,297
1170,328
1224,340
1254,342
1266,342
1275,342
1279,341
1276,341
1253,345
1231,358
1212,370
1194,384
1188,392
1183,403
1178,406
1172,410
1151,415
1126,420
1073,425
950,430
832,430
785,428
712,422
681,420
667,419
659,417
652,413
651,405
649,391
649,367
602,368
567,369
529,359
416,312
330,267
262,235
214,217
166,202
141,197
117,194
96,191
84,190
75,190
71,190
68,193
71,203
76,215
79,225
82,232
84,238
86,239
86,238
87,234
89,227
91,223
92,218
94,215
95,213
96,211
97,211
99,209
100,206
103,204
104,202
106,200
106,199
107,198
107,197
107,196
107,195
108,194
108,191
108,188
108,186
108,185
108,184
107,184
107,184
105,184
104,184
104,181
103,177
103,175
103,172
103,170
102,170
102,171
105,177
121,195
138,212
177,263
232,336
271,397
315,469
326,492
347,535
348,543
348,546
349,545
353,538
361,521
368,502
374,486
379,469
385,454
387,448
389,443
389,441
390,441
390,440
390,439
390,438
390,435
390,433
390,431
390,428
390,427
390,426
390,424
392,423
392,422
392,421
393,420
393,419
395,419
395,418
397,418
397,418
398,418
399,418
400,418
401,418
286,752
275,779
271,786
270,789
269,793
267,799
264,799
261,799
259,799
256,799
255,799
254,799
254,799
254,797
254,794
260,781
272,752
287,716
301,689
319,655
331,638
337,629
340,628
340,630
336,640
335,638
327,638
327,637
327,631
327,613
329,586
336,557
339,543
343,532
346,528
347,526
348,524
348,524
348,525
348,525
348,526
348,527
348,527
348,528
348,529
347,528
347,527
347,527
347,526
347,500
347,493
349,484
360,474
378,461
426,429
491,392
587,345
719,283
840,232
909,205
987,173
1026,153
1068,134
1089,125
1109,116
1118,113
1124,111
1129,106
1130,102
1130,98
1126,94
1117,89
1109,81
1103,77
1092,73
1079,73
1068,76
1059,86
1051,97
1048,114
1055,133
1075,150
1102,164
1134,170
1166,172
1194,172
1212,163
1223,143
1225,100
1207,55
1181,28
1136,8
1102,11
1078,29
1053,57
1044,77
1036,109
1036,127
1050,142
1072,152
1104,156
1154,156
1187,151
1208,143
1226,132
1234,123
1236,111
1233,102
1206,85
1178,75
1134,71
1088,71
1065,82
1053,96
